date,temperature,humidity,visibility,wind_speed,condition
2011-6-21,18,70,10,21,1
2011-6-22,14,73,10,21,0.6
2011-6-23,14,65,10,18,0.6
2011-6-24,14,64,10,13,0.6
2011-6-25,17,78,9,18,0.6
2011-6-26,19,78,9,6,1
2011-6-27,24,61,5,8,1
2011-6-28,20,82,9,8,1
2011-6-29,16,57,10,13,1
2011-6-30,15,57,10,10,1
